滦下桑园水位流量关系表
2011-04-29



   ID   WL(cm)  Flux(m3/s)
-------------------------------
    1   1110    0
    2   1111    0.129
    3   1112    0.258
    4   1113    0.387
    5   1114    0.516
    6   1115    0.645
    7   1116    0.774
    8   1117    0.903
    9   1118    1.03
    10  1119    1.16
    11  1120    1.29
    12  1121    1.42
    13  1122    1.56
    14  1123    1.69
    15  1124    1.82
    16  1125    1.96
    17  1126    2.09
    18  1127    2.22
    19  1128    2.35
    20  1129    2.49
    21  1130    2.62
    22  1131    2.76
    23  1132    2.9
    24  1133    3.04
    25  1134    3.18
    26  1135    3.32
    27  1136    3.46
    28  1137    3.6
    29  1138    3.74
    30  1139    3.88
    31  1140    4.02
    32  1141    4.17
    33  1142    4.33
    34  1143    4.48
    35  1144    4.63
    36  1145    4.78
    37  1146    4.94
    38  1147    5.09
    39  1148    5.24
    40  1149    5.4
    41  1150    5.55
    42  1151    5.74
    43  1152    5.92
    44  1153    6.11
    45  1154    6.29
    46  1155    6.48
    47  1156    6.7
    48  1157    6.92
    49  1158    7.13
    50  1159    7.35
    51  1160    7.75
    52  1161    7.83
    53  1162    8.08
    54  1163    8.34
    55  1164    8.59
    56  1165    8.85
    57  1166    9.14
    58  1167    9.43
    59  1168    9.72
    60  1169    10.1
    61  1170    10.3
    62  1171    10.6
    63  1172    11
    64  1173    11.3
    65  1174    11.7
    66  1175    12
    67  1176    12.4
    68  1177    12.8
    69  1178    13.1
    70  1179    13.5
    71  1180    13.9
    72  1181    14.3
    73  1182    14.7
    74  1183    15
    75  1184    15.4
    76  1185    15.8
    77  1186    16.2
    78  1187    16.6
    79  1188    16.9
    80  1189    17.3
    81  1190    17.7
    82  1191    18.1
    83  1192    18.5
    84  1193    18.9
    85  1194    19.2
    86  1195    19.6
    87  1196    20
    88  1197    20.4
    89  1198    20.8
    90  1199    21.2
    91  1200    21.6
    92  1201    22
    93  1202    22.4
    94  1203    22.8
    95  1204    23.2
    96  1205    23.6
    97  1206    23.9
    98  1207    24.3
    99  1208    24.7
    100 1209    25.1
    101 1210    25.5
